kalley,Por Siempre (Live),01-02-2019,spotify:album:2yIPFIYN8bj7nl8oeH0JE7,
Bethel Music,Promesas No Fallarán (Live),01-02-2019,spotify:album:3sGLNqf5Kioy1eQWTp8e0v,
Molly Skaggs,Ain't No Grave (Live),04-01-2019,spotify:album:5WpjLZoNLdPRgmjNaCPEFI,
Jenn Johnson,Goodness of God (Live),04-01-2019,spotify:album:1PNC5l479ru4oXhPBl9ChB,
Melissa Helser,Raise a Hallelujah (Live),04-01-2019,spotify:album:3Ne65SAGAPWEq5SweEi5bx,
Bethany Wohrle,Victory Is Yours (Live),04-01-2019,spotify:album:0E5A70QjcroUQQvzdIFLqL,
Josh Baldwin,Stand In Your Love (Radio Version),06-08-2018,spotify:album:1ZID8iDyFaevr7kBna3Y9d,
Bethany Wohrle,Living Hope,22-06-2018,spotify:album:2rKiADhVznDGC1oRjeczDr,
Bethel Music,Take Courage (Radio Version) [feat. Kristene DiMarco],08-05-2017,spotify:album:5ia32UCbUohoLUQtDz1WTZ,
Brian Johnson,Have It All (Studio Version),06-05-2016,spotify:album:5mv75enwMvLcgX9vfvb9H1,
Brian Johnson,Have It All (Live),16-02-2016,spotify:album:3XU1OmIoTzFPHx5CM2isGo,
Bethel Music,No Longer Slaves (Radio Version) [feat. Jonathan David Helser & Melissa Helser],21-08-2015,spotify:album:3R0kFFdsc82KAmQlH1WqG0,
Kristene Dimarco,It Is Well (Radio Mix),31-03-2015,spotify:album:1FXlbsMBEckWCsDnTDnsP8,
Amanda Lindsey Cook,You Make Me Brave (Studio Version),17-06-2014,spotify:album:1LUGhKJ66F0OHtEoI5FC6w,
Amanda Lindsey Cook,You Make Me Brave (Live),22-04-2014,spotify:album:00nTZmVrarWu4wbR1YABXw,
Bethel Music,Tides: The Spotify EP,03-09-2013,spotify:album:51tDIxdvRnjOxK2E1zrwAw,
Bethel Music,Tides: The Streaming EP,03-09-2013,spotify:album:1qgI3Ciavz0548urT2VXXu,
Evolution/CaminoAlCielo,Por Siempre,18-09-2017,spotify:album:3DU0AclMwJsnNaBEICAFjd,
Various Artists,The Best Praise & Worship Album In The World...Ever!,27-04-2014,spotify:album:2EJRV8ihLuUEkD3IcfEBxa,
Hillsong UNITED,People (Live),28-06-2019,spotify:album:3bMPLTN3fYcLAO2DJwPoBK,
Hillsong UNITED,Wonder,09-06-2017,spotify:album:1jEMFRIpdPdNnIuKIBlf8O,
Hillsong UNITED,Of Dirt And Grace (Live From The Land),15-07-2016,spotify:album:6GM646FRGtpTyYIYEAd3YZ,
Hillsong UNITED,Empires,26-05-2015,spotify:album:7wikPsBQQbAKQ0clBeJtKl,
Hillsong UNITED,The White Album [Remix Project],04-03-2014,spotify:album:3mpGFlg6nbrJPMzwDWUFUU,
Hillsong UNITED,Zion,23-02-2013,spotify:album:7LHFVlsndw7HxDGJPWJS7S,
Hillsong UNITED,Live In Miami,14-02-2012,spotify:album:5lv8ALk4O8sxL8LXqsdtYo,
Hillsong UNITED,Aftermath,15-02-2011,spotify:album:04UMGsQtO2AzRGTtMkKFuL,
Hillsong UNITED,Tear Down The Walls,09-05-2009,spotify:album:1EgUtnZGL7tHuBnHdsaTNs,
